问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,93,16,F:System.Windows.Forms.DockStyle.Top,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,93,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,93,16,P:System.Windows.Forms.Control.Dock,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,92,16,T:System.Windows.Forms.Panel,,,,,"_bubblePanel.BackColor = Color.FromArgb(220, 240, 255);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,92,16,P:System.Windows.Forms.Control.BackColor,,,,,"_bubblePanel.BackColor = Color.FromArgb(220, 240, 255);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,91,16,T:System.Windows.Forms.Label,,,,,_lblSender.ForeColor = Color.Blue;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,91,16,P:System.Windows.Forms.Control.ForeColor,,,,,_lblSender.ForeColor = Color.Blue;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,87,12,T:System.Windows.Forms.Label,,,,,"_lblTime.Text = _message.Timestamp.ToString(""HH:mm:ss"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,87,12,P:System.Windows.Forms.Label.Text,,,,,"_lblTime.Text = _message.Timestamp.ToString(""HH:mm:ss"");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,86,12,T:System.Windows.Forms.Label,,,,,_lblSender.Text = _message.SenderName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,86,12,P:System.Windows.Forms.Label.Text,,,,,_lblSender.Text = _message.SenderName;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,81,12,M:System.Windows.Forms.Control.PerformLayout,,,,,this.PerformLayout();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,80,12,M:System.Windows.Forms.Control.ResumeLayout(System.Boolean),,,,,this.ResumeLayout(false);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,79,12,T:System.Windows.Forms.PictureBox,,,,,((System.ComponentModel.ISupportInitialize)(_picImage)).EndInit();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,77,12,T:System.Windows.Forms.Label,,,,,_bubblePanel.Controls.Add(_lblFileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,77,12,T:System.Windows.Forms.Panel,,,,,_bubblePanel.Controls.Add(_lblFileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,77,12,T:System.Windows.Forms.Control.ControlCollection,,,,,_bubblePanel.Controls.Add(_lblFileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,77,12,P:System.Windows.Forms.Control.Controls,,,,,_bubblePanel.Controls.Add(_lblFileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,77,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,_bubblePanel.Controls.Add(_lblFileName);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,76,12,T:System.Windows.Forms.PictureBox,,,,,_bubblePanel.Controls.Add(_picImage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,76,12,T:System.Windows.Forms.Panel,,,,,_bubblePanel.Controls.Add(_picImage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,76,12,T:System.Windows.Forms.Control.ControlCollection,,,,,_bubblePanel.Controls.Add(_picImage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,76,12,P:System.Windows.Forms.Control.Controls,,,,,_bubblePanel.Controls.Add(_picImage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,76,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,_bubblePanel.Controls.Add(_picImage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,75,12,T:System.Windows.Forms.Label,,,,,_bubblePanel.Controls.Add(_lblMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,75,12,T:System.Windows.Forms.Panel,,,,,_bubblePanel.Controls.Add(_lblMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,75,12,T:System.Windows.Forms.Control.ControlCollection,,,,,_bubblePanel.Controls.Add(_lblMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,75,12,P:System.Windows.Forms.Control.Controls,,,,,_bubblePanel.Controls.Add(_lblMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,75,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,_bubblePanel.Controls.Add(_lblMessage);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,74,12,T:System.Windows.Forms.Panel,,,,,this.Controls.Add(_bubblePanel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,74,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(_bubblePanel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,74,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(_bubblePanel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,74,12,M:System.Windows.Forms.Control.ControlCollection.Add(System.Windows.Forms.Control),,,,,this.Controls.Add(_bubblePanel);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,73,12,T:System.Windows.Forms.Label,,,,,this.Controls.Add(_lblTime);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,73,12,T:System.Windows.Forms.Control.ControlCollection,,,,,this.Controls.Add(_lblTime);
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,73,12,P:System.Windows.Forms.Control.Controls,,,,,this.Controls.Add(_lblTime);
